상가업소번호	상호명	상권업종대분류명	상권업종중분류명	상권업종소분류명	지번주소	도로명	구우편번호	신우편번호	경도	위도
15953242	더르뱅	음식	제과제빵떡케익	제과점	서울특별시 노원구 상계동 1267	서울특별시 노원구 동일로	139876	1624	127.0558038	37.68018053
15953256	스테이커피	음식	커피점/카페	커피전문점/카페/다방	서울특별시 송파구 문정동 642	서울특별시 송파구 송파대로	138888	5854	127.1205807	37.48788401
15953282	멜슨하우스	음식	커피점/카페	커피전문점/카페/다방	서울특별시 서초구 서초동 1604-4	서울특별시 서초구 효령로61길	137877	6643	127.0193812	37.48661883
15980150	더마실	음식	커피점/카페	커피전문점/카페/다방	서울특별시 송파구 풍납동 175	서울특별시 송파구 풍성로5길	138873	5516	127.1159527	37.53609217
15960104	당산동커피	음식	커피점/카페	커피전문점/카페/다방	서울특별시 영등포구 당산동2가 161-2	서울특별시 영등포구 영등포로19길	150042	7263	126.8931766	37.52427581
15960144	즉석떡볶이달쫀남성점	음식	분식	떡볶이전문	서울특별시 동작구 사당동 252-10	서울특별시 동작구 사당로13길	156819	7004	126.9728	37.48454705
15960682	달리는커피	음식	커피점/카페	커피전문점/카페/다방	서울특별시 송파구 문정동 111-7	서울특별시 송파구 새말로	138870	5800	127.1325044	37.48644937
15980300	착형	음식	커피점/카페	커피전문점/카페/다방	서울특별시 강남구 수서동 724	서울특별시 강남구 광평로	135744	6367	127.1030943	37.48731104
15988994	Igoteverything강동구청	음식	커피점/카페	커피전문점/카페/다방	서울특별시 강동구 성내동 540	서울특별시 강동구 성내로	134700	5397	127.1237731	37.53014942
15989791	티라레미수강남아이파크타워점	음식	커피점/카페	커피전문점/카페/다방	서울특별시 강남구 삼성동 87	서울특별시 강남구 영동대로	135743	6080	127.0595317	37.51839214
15907503	펠릭스커피	음식	커피점/카페	커피전문점/카페/다방	서울특별시 노원구 상계동 358-9	서울특별시 노원구 상계로3길	139816	1693	127.0623579	37.65754483
15895958	파리바게트17789위례아이파크	음식	제과제빵떡케익	제과점	서울특별시 송파구 장지동 894	서울특별시 송파구 위례광장로	138926	5852	127.1422226	37.47711321
15957384	동그라미카페	음식	커피점/카페	커피전문점/카페/다방	서울특별시 송파구 문정동 650	서울특별시 송파구 법원로	138888	5856	127.1200765	37.48362724
15958784	시빌라	음식	패스트푸드	패스트푸드	서울특별시 서대문구 대현동 40-13	서울특별시 서대문구 신촌로	120808	3766	126.9454806	37.55697571
15959302	사랑빵분식	음식	분식	라면김밥분식	서울특별시 은평구 역촌동 17-4	서울특별시 은평구 진흥로	122896	3404	126.9220095	37.6062576
15988588	명가영양센터	음식	닭/오리요리	후라이드/양념치킨	서울특별시 영등포구 당산동3가 543-6	서울특별시 영등포구 양산로	150804	7261	126.8942142	37.52449277
15987182	한나식빵	음식	제과제빵떡케익	제과점	서울특별시 동대문구 답십리동 1003-2	서울특별시 동대문구 답십리로	130031	2598	127.0556808	37.57259562
15960747	식빵굼터	음식	제과제빵떡케익	제과점	서울특별시 관악구 봉천동 1634-19	서울특별시 관악구 남부순환로248길	151832	8793	126.9654643	37.47532834
15961408	커피의정석	음식	커피점/카페	커피전문점/카페/다방	서울특별시 강동구 암사동 511-3	서울특별시 강동구 상암로	134877	5242	127.1257855	37.55063631
15988256	신설동김밥천국	음식	분식	라면김밥분식	서울특별시 동대문구 신설동 104-7	서울특별시 동대문구 천호대로2길	130812	2586	127.0242354	37.57408791
15979896	분식의신킴스클럽	음식	분식	라면김밥분식	서울특별시 양천구 목동 917-6	서울특별시 양천구 목동동로	158721	7997	126.875987	37.52913225
15979373	맑	음식	커피점/카페	커피전문점/카페/다방	서울특별시 송파구 잠실동 19-9	서울특별시 송파구 올림픽로	138908	5501	127.084168	37.51208012
15956599	페이머스하와이쉬림프	음식	패스트푸드	패스트푸드	서울특별시 광진구 자양동 227-342	서울특별시 광진구 능동로	143854	5065	127.070902	37.53835036
15953421	성북동김밥	음식	분식	라면김밥분식	서울특별시 성북구 성북동 161-11	서울특별시 성북구 성북로	136825	2835	127.0021554	37.59308649
15960649	띠아모쌍문동점	음식	커피점/카페	커피전문점/카페/다방	서울특별시 도봉구 창동 828	서울특별시 도봉구 도봉로110다길	132042	1460	127.0332257	37.64483937
15989718	서아이디야	음식	커피점/카페	커피전문점/카페/다방	서울특별시 서대문구 남가좌동 324-30	서울특별시 서대문구 거북골로	120806	3665	126.9239033	37.579352
15989731	또아식빵	음식	제과제빵떡케익	제과점	서울특별시 송파구 장지동 896	서울특별시 송파구 위례광장로	138926	5852	127.1428016	37.47492782
15989865	신불난떡볶이	음식	분식	떡볶이전문	서울특별시 강북구 미아동 75-8	서울특별시 강북구 도봉로10다길	142804	1216	127.0318359	37.61484151
15989930	cafe새벽	음식	커피점/카페	커피전문점/카페/다방	서울특별시 금천구 가산동 60-44	서울특별시 금천구 디지털로9길	153791	8512	126.8870793	37.48004933
15941511	화난떡볶이	음식	분식	떡볶이전문	서울특별시 용산구 청파동2가 90-17	서울특별시 용산구 청파로47길	140132	4309	126.969346	37.54497732
15921326	행복한손칼국수	음식	분식	국수/만두/칼국수	서울특별시 도봉구 도봉동 654	서울특별시 도봉구 도봉로180길	132759	1320	127.0467894	37.68118925
15958403	굿모닝커피	음식	커피점/카페	커피전문점/카페/다방	서울특별시 영등포구 대림동 778-13	서울특별시 영등포구 가마산로	150816	7378	126.895784	37.49934132
15959110	메가커피수색자이	음식	커피점/카페	커피전문점/카페/다방	서울특별시 은평구 수색동 75	서울특별시 은평구 수색로	122873	3504	126.8987092	37.5796152
15959200	커피가좋아3S	음식	커피점/카페	커피전문점/카페/다방	서울특별시 강남구 수서동 714	서울특별시 강남구 광평로51길	135884	6349	127.1024712	37.48836055
15959385	쁘띠크로아상	음식	커피점/카페	커피전문점/카페/다방	서울특별시 중랑구 신내동 214-4	서울특별시 중랑구 신내역로1길	131865	2263	127.1102757	37.61765753
15959881	다올북카페	음식	커피점/카페	커피전문점/카페/다방	서울특별시 중랑구 중화동 287-3	서울특별시 중랑구 동일로134길	131876	2088	127.0806422	37.60116657
15959823	만보손칼국수	음식	분식	국수/만두/칼국수	서울특별시 양천구 신월동 932-1	서울특별시 양천구 지양로	158845	8037	126.8329747	37.52241678
15986354	버터럼	음식	커피점/카페	커피전문점/카페/다방	서울특별시 관악구 봉천동 37-2	서울특별시 관악구 관악로30길	151808	8733	126.9579828	37.48651674
15989574	스타벅스	음식	커피점/카페	커피전문점/카페/다방	서울특별시 서대문구 창천동 72-12	서울특별시 서대문구 신촌로	120834	3789	126.9345003	37.55630046
15961101	김박사	음식	분식	라면김밥분식	서울특별시 광진구 군자동 65-3	서울특별시 광진구 군자로	143837	4998	127.0749954	37.55414188
15960788	커피콩콩	음식	커피점/카페	커피전문점/카페/다방	서울특별시 송파구 석촌동 175	서울특별시 송파구 백제고분로39길	138844	5616	127.1050961	37.50529337
15978437	엠지투게더카페	음식	커피점/카페	커피전문점/카페/다방	서울특별시 영등포구 당산동1가 7-1	서울특별시 영등포구 영등포로	150800	7292	126.8992961	37.52048555
15956937	한나식빵	음식	커피점/카페	커피전문점/카페/다방	서울특별시 서초구 우면동 72-8	서울특별시 서초구 바우뫼로7길	137889	6762	127.0245861	37.47244322
15956608	신가락몰분식	음식	분식	라면김밥분식	서울특별시 송파구 가락동 600	서울특별시 송파구 양재대로	138701	5699	127.1086964	37.49452588
15956612	호두까끼형제	음식	제과제빵떡케익	제과점	서울특별시 강남구 도곡동 954-10	서울특별시 강남구 남부순환로351길	135860	6267	127.0347175	37.48549266
15953390	소로르커피	음식	커피점/카페	커피전문점/카페/다방	서울특별시 영등포구 양평동3가 90-1	서울특별시 영등포구 선유로43가길	150932	7210	126.8919962	37.531419
15953437	비손칼국수수락산점	음식	분식	국수/만두/칼국수	서울특별시 노원구 상계동 1132-35	서울특별시 노원구 동일로	139838	1625	127.0556453	37.67658415
15953502	전상꽈배기	음식	분식	라면김밥분식	서울특별시 양천구 목동 801-11	서울특별시 양천구 목동중앙서로8길	158819	7967	126.8662608	37.53187754
15960229	헤븐리가든	음식	커피점/카페	커피전문점/카페/다방	서울특별시 동작구 상도동 29-2	서울특별시 동작구 상도로34길	156831	6964	126.9459069	37.50418733
15989550	타코냥	음식	분식	라면김밥분식	서울특별시 노원구 상계동 173-1	서울특별시 노원구 한글비석로	139748	1663	127.0735644	37.66229172
15947151	홍두깨칼국수신월1동	음식	분식	국수/만두/칼국수	서울특별시 양천구 신월동 116-29	서울특별시 양천구 곰달래로13길	158827	7923	126.8375596	37.53022893
